Country_code,Gap,Date,Visgap
CIV,59284730,2012,18.249748960724574
GNB,774522609,2010,20.49952934237609
EGY,5474430014,2018,22.427910867692365
RWA,81787960,2007,18.486385494155382
LSO,14653039,2012,17.49575826551056
GHA,774943253,2010,20.500055320890112
GIN,2043490589,2014,21.450086530083098
BFA,36194576,2018,17.92962103112224
BEN,769760255,2010,20.493555058524603
NGA,365428607,2018,19.7827638231237
DJI,31258558,2017,17.845525199512437
LBY,234906703,2018,19.37584551351019
MDG,6554840,2017,17.26733821926827
TUN,308955526,2011,19.626527899583884
ETH,528553286,2018,20.131874315750323
CPV,361026890,2007,19.771425818177924
SSD,718150705,2018,20.42641369025542
COG,12642274,2017,17.44372268153727
CMR,199257613,2018,19.228320173687674
SOM,702234369,2018,20.404763730407804
COD,936035099,2018,20.683524795485834
SLE,1956006560,2014,21.40687251984509
MLI,156714162,2018,19.01796295534082
CAF,266641734,2018,19.4910475620146
ERI,105557520,2006,18.68734878770749
AGO,868790,2005,17.068670585288007
ZMB,7750613,2007,17.30452923854073
MRT,45685719,2018,18.07379906054039
LBR,1887802272,2014,21.371836822807804
TZA,58081732,2007,18.235373642852966
NER,176391333,2018,19.120776278691498
SWZ,4374714,2007,17.195752942607236
MOZ,5317311,2017,17.22733421359573
BDI,76609955,2018,18.436683336724844
UGA,599960108,2015,20.25320346197518
MWI,16013910,2005,17.529499293947442
KEN,-25003176,2017,0.0
ZWE,211362074,2016,19.28088884030599
NAM,2116016,2011,17.115752263956562
SEN,10066473,2018,17.37284664202664
SDN,404570759,2018,19.878304428927343
TCD,287532663,2018,19.560229708564563
GMB,11013889,2016,17.399503439647102
TGO,771502068,2010,20.495744272352333
